1,1996,1,3,0
2,1993,1,6,0
3,1986,4,10,0
4,1973,6,21,0
5,1951,14,35,0
6,1910,21,69,0
7,1842,40,117,1
8,1722,73,200,5
9,1532,122,338,8
10,1267,173,538,22
11,947,223,777,53
12,637,218,1055,90
13,400,181,1290,129
14,218,124,1495,163
15,108,72,1636,184
16,52,37,1713,198
17,21,21,1750,208
18,11,8,1770,211
19,8,4,1775,213
20,5,6,1774,215
21,2,1,1780,217
22,1,0,1782,217
23,1,0,1782,217
24,1,0,1782,217
25,1,0,1782,217
26,1,0,1782,217
27,1,0,1782,217
28,1,0,1782,217
